Title,Release,Genre,Rating,Runtime,Revenue,Decade
The Shawshank Redemption,1994,Drama,9.3,142,28.341469,1990
The Godfather,1972,Crime,9.2,175,134.966411,1970
The Dark Knight,2008,Action,9.0,152,534.858444,2000
The Godfather: Part II,1974,Crime,9.0,202,57.3,1970
12 Angry Men,1957,Crime,9.0,96,4.36,1950
The Lord of the Rings: The Return of the King,2003,Action,8.9,201,377.845905,2000
Pulp Fiction,1994,Crime,8.9,154,107.928762,1990
Schindler's List,1993,Biography,8.9,195,96.898818,1990
Inception,2010,Action,8.8,148,292.576195,2010
Fight Club,1999,Drama,8.8,139,37.030102,1990
The Lord of the Rings: The Fellowship of the Ring,2001,Action,8.8,178,315.54475,2000
Forrest Gump,1994,Drama,8.8,142,330.252182,1990
"Il buono, il brutto, il cattivo",1966,Western,8.8,161,6.1,1960
The Lord of the Rings: The Two Towers,2002,Action,8.7,179,342.551365,2000
The Matrix,1999,Action,8.7,136,171.47993,1990
Goodfellas,1990,Biography,8.7,146,46.836394,1990
Star Wars: Episode V - The Empire Strikes Back,1980,Action,8.7,124,290.475067,1980
One Flew Over the Cuckoo's Nest,1975,Drama,8.7,133,112.0,1970
Hamilton,2020,Biography,8.6,160,,2020
Gisaengchung,2019,Comedy,8.6,132,53.367844,2010
Soorarai Pottru,2020,Drama,8.6,153,,2020
Interstellar,2014,Adventure,8.6,169,188.020017,2010
Cidade de Deus,2002,Crime,8.6,130,7.563397,2000
Sen to Chihiro no kamikakushi,2001,Animation,8.6,125,10.055859,2000
Saving Private Ryan,1998,Drama,8.6,169,216.540909,1990
The Green Mile,1999,Crime,8.6,189,136.801374,1990
La vita è bella,1997,Comedy,8.6,116,57.598247,1990
Se7en,1995,Crime,8.6,127,100.125643,1990
The Silence of the Lambs,1991,Crime,8.6,118,130.742922,1990
Star Wars,1977,Action,8.6,121,322.74014,1970
Seppuku,1962,Action,8.6,133,,1960
Shichinin no samurai,1954,Action,8.6,207,0.269061,1950
It's a Wonderful Life,1946,Drama,8.6,130,,1940
Joker,2019,Crime,8.5,122,335.451311,2010
Whiplash,2014,Drama,8.5,106,13.092,2010
The Intouchables,2011,Biography,8.5,112,13.182281,2010
The Prestige,2006,Drama,8.5,130,53.089891,2000
The Departed,2006,Crime,8.5,151,132.384315,2000
The Pianist,2002,Biography,8.5,150,32.572577,2000
Gladiator,2000,Action,8.5,155,187.705427,2000
American History X,1998,Drama,8.5,119,6.719864,1990
The Usual Suspects,1995,Crime,8.5,106,23.341568,1990
Léon,1994,Action,8.5,110,19.501238,1990
The Lion King,1994,Animation,8.5,88,422.783777,1990
Terminator 2: Judgment Day,1991,Action,8.5,137,204.84335,1990
Nuovo Cinema Paradiso,1988,Drama,8.5,155,11.990401,1980
Hotaru no haka,1988,Animation,8.5,89,,1980
Back to the Future,1985,Adventure,8.5,116,210.609762,1980
Once Upon a Time in the West,1968,Western,8.5,165,5.321508,1960
Psycho,1960,Horror,8.5,109,32.0,1960
Casablanca,1942,Drama,8.5,102,1.02456,1940
Modern Times,1936,Comedy,8.5,87,0.163245,1930
City Lights,1931,Comedy,8.5,87,0.019181,1930
Capharnaüm,2018,Drama,8.4,126,1.661096,2010
Ayla: The Daughter of War,2017,Biography,8.4,125,,2010
Vikram Vedha,2017,Action,8.4,147,,2010
Kimi no na wa.,2016,Animation,8.4,106,5.017246,2010
Dangal,2016,Action,8.4,161,12.391761,2010
Spider-Man: Into the Spider-Verse,2018,Animation,8.4,117,190.24131,2010
Avengers: Endgame,2019,Action,8.4,181,858.373,2010
Avengers: Infinity War,2018,Action,8.4,149,678.815482,2010
Coco,2017,Animation,8.4,105,209.726015,2010
Django Unchained,2012,Drama,8.4,165,162.805434,2010
The Dark Knight Rises,2012,Action,8.4,164,448.139099,2010
3 Idiots,2009,Comedy,8.4,170,6.532908,2000
Taare Zameen Par,2007,Drama,8.4,165,1.223869,2000
WALL·E,2008,Animation,8.4,98,223.808164,2000
The Lives of Others,2006,Drama,8.4,137,11.286112,2000
Oldeuboi,2003,Action,8.4,101,0.707481,2000
Memento,2000,Mystery,8.4,113,25.544867,2000
Mononoke-hime,1997,Animation,8.4,134,2.375308,1990
Once Upon a Time in America,1984,Crime,8.4,229,5.321508,1980
